Drug Name	Disease Name
BmK IT2 scorpion toxin	Seizures|Status Epilepticus
CT 50547	Thrombosis
Am 580	Colitis|Cataract
Ethionamide	Tuberculosis, Multidrug-Resistant|Leprosy, Lepromatous|Tuberculosis
ramosetron	Irritable Bowel Syndrome|Diarrhea|Postoperative Nausea and Vomiting|Vomiting
tirilazad	Subarachnoid Hemorrhage|Acute Kidney Injury|Reperfusion Injury|Ischemia
Coptidis rhizoma extract	Diabetic Nephropathies
nafamostat	Pain|Disseminated Intravascular Coagulation
Tetradecanoylphorbol Acetate	Necrosis|Vasospasm, Intracranial|Pancreatic Neoplasms
fosfedil	Hypertension|Angina, Stable
Amikacin	Escherichia coli Infections|Hepatomegaly|Streptococcal Infections|Bacteremia|Endocarditis|Hearing Loss, Unilateral|Hyperhidrosis|Fever|Bacteriuria|Meningitis|Klebsiella Infections|Agranulocytosis|Endocarditis, Bacterial|Hearing Loss|Endophthalmitis|Meningitis, Bacterial|Gram-Negative Bacterial Infections|Cystic Fibrosis|Tuberculosis|Staphylococcal Skin Infections|Pseudomonas Infections|Gram-Positive Bacterial Infections|Bronchopneumonia|Meningitis, Listeria|Kidney Diseases|Pneumonia|Pelvic Inflammatory Disease|Hearing Loss, High-Frequency|Neisseriaceae Infections|Pericarditis|Sepsis|Staphylococcal Infections|Bacterial Infections|Arthritis, Infectious|Urinary Tract Infections|Lymphatic Diseases
N-(2-(4-bromocinnamylamino)ethyl)-5-isoquinolinesulfonamide	Hyperalgesia|Nerve Degeneration
Diclofenac	Lupus Erythematosus, Systemic|Rheumatic Diseases|Spondylitis, Ankylosing|Dysmenorrhea|Cholecystolithiasis|Inflammation|Ocular Hypertension|Keratosis, Actinic|Arthritis, Gouty|Glaucoma, Open-Angle|Fever|Pain|Neuroblastoma|Arthritis|Osteoarthritis|Discitis|Hyperalgesia|Amphetamine-Related Disorders|Carcinoma, Non-Small-Cell Lung|Muscular Diseases|Pain, Postoperative|Thrombosis|Arthritis, Psoriatic|Hepatic Insufficiency|Gout|Low Back Pain|Edema|Neuralgia|Colonic Neoplasms|Bacterial Infections|Arthritis, Rheumatoid|Fatty Liver|Arthritis, Experimental
Polythiazide	Obesity|Hypertension
linustatin	Poisoning|Weight Loss
Buthionine Sulfoximine	Gastrointestinal Neoplasms|Leukemia, Promyelocytic, Acute|Micronuclei, Chromosome-Defective|Drug-Induced Liver Injury|Melanoma|Urinary Bladder Neoplasms|Lung Neoplasms|Neoplasms, Experimental
Vanadates	Hyperglycemia
Osmium Tetroxide	Arthritis
sairei-to	Proteinuria
Bumetanide	Neurogenic Inflammation|Edema|Kidney Diseases|Heart Failure|Nephrotic Syndrome|Myocardial Ischemia|Hyperalgesia|Hypertension, Malignant|Hypertension|Dyspnea
Pizotyline	Migraine Disorders|Headache
4,5,6,7-tetrahydroisoxazolo(4,5-c)pyridin-3-ol	Seizures
Mephenytoin	Epilepsy
Prostaglandins E	Hypertension, Pulmonary
Gonadotropins	Infertility, Female
Cefaclor	Pyelonephritis|Otitis Media|Respiratory Tract Infections|Sinusitis|Skin Diseases, Infectious|Pleuropneumonia|Haemophilus Infections
SC 560	Thrombosis|Carcinoma, Hepatocellular
AG 1879	Neoplasm Invasiveness|Necrosis|Urinary Bladder Neoplasms|Adenocarcinoma|Pancreatic Neoplasms
N-(n-butyl)-(bis-fluorophenyl)methoxytropane	Cocaine-Related Disorders
Ethacrynic Acid	Acute Kidney Injury|Hypotension|Renal Insufficiency
bremazocine	Hyperalgesia|Cocaine-Related Disorders
Oxotremorine	Substance Withdrawal Syndrome|Hypotension|Ventricular Fibrillation|Learning Disorders|Cocaine-Related Disorders|Amnesia|Catalepsy
protolichesterinic acid	Prostatic Neoplasms
Chlorzoxazone	Back Pain|Low Back Pain|Spasm
N-((4-hydroxyphenyl)retinamide)-O-glucuronide	Breast Neoplasms|Mammary Neoplasms, Experimental
Monensin	Prostatic Neoplasms
Pentobarbital	Seizures|Craniocerebral Trauma|Ocular Motility Disorders|Nerve Degeneration|Ventricular Fibrillation|Epilepsy|Vomiting|Status Epilepticus|Intracranial Hypertension|Myoclonus|Brain Injuries|Tremor|Anemia|Spasm|Bradycardia
copper (II) diacetyl-di(N(4)-methylthiosemicarbazone)	Neoplasm Metastasis
deuterohemin-alanyl-histidyl-threonyl-valyl-glutamyl-lysine	Hyperglycemia|Insulin Resistance
3-biphenyl-4-yl-4-(2-fluorophenyl)-5-isopropyl-4H-1,2,4-triazole	Akathisia, Drug-Induced|Learning Disorders
7,7-diphenyl-2-(1-imino-2-(2-methoxyphenyl)ethyl)perhydroisoindol-4-one	Pain|Extravasation of Diagnostic and Therapeutic Materials|Hyperalgesia|Urinary Bladder, Overactive|Cocaine-Related Disorders|Urinary Bladder Diseases|Reflex, Abnormal
Lomustine	Brain Neoplasms|Central Nervous System Neoplasms|Melanoma|Glioma|Astrocytoma|Oligodendroglioma|Neoplasms|Histiocytic Disorders, Malignant|Brain Edema|Glioblastoma|Eye Neoplasms|Sarcoma, Experimental|Neoplasms, Neuroepithelial|Carcinoma, Bronchogenic|Vipoma|Small Cell Lung Carcinoma|Lymphoma|Lung Neoplasms|Hodgkin Disease|Pancreatic Neoplasms|Neoplasms, Experimental
Dexetimide	Parkinsonian Disorders|Hypertension|Bradycardia
EFP protocol	Carcinoma, Non-Small-Cell Lung
Isoxazoles	Glioblastoma
cefdinir	Fever|Otitis Media
zileuton	Infarction, Middle Cerebral Artery|Asthma|Pruritus|Decompression Sickness|Pulmonary Edema|Sinusitis|Bronchial Hyperreactivity|Acne Vulgaris|Asthma, Exercise-Induced|Fractures, Closed|Rhinitis|Pain|Nasal Polyps|Sleep Apnea, Obstructive|Hypertension, Pulmonary|Leukemia, Myelogenous, Chronic, BCR-ABL Positive|Inflammatory Bowel Diseases|Endotoxemia|Reperfusion Injury|Peritonitis|Eosinophilia|Spinal Cord Injuries|Edema|Brain Edema|Acute Lung Injury|Colonic Neoplasms|Inflammation
Chalcones	Neoplasm Invasiveness|Disease Progression|Weight Loss|Breast Neoplasms|Inflammation|Hyperglycemia|Neovascularization, Pathologic|Colitis
salicylaldehyde isonicotinoyl hydrazone	Breast Neoplasms|Leukemia, Promyelocytic, Acute
Scorpion Venoms	Leukemia
pramanicin	Neoplasms
Carboplatin	Melanoma|Supratentorial Neoplasms|Tongue Neoplasms|Urologic Neoplasms|Adenocarcinoma|Mammary Neoplasms, Experimental|Retinoblastoma|Neoplasm Metastasis|Urinary Bladder Neoplasms|Lung Neoplasms|Wilms Tumor|Endometrial Neoplasms|Neuroblastoma|Leukemia, Myeloid, Acute|Mesothelioma|Leukemia|Breast Neoplasms|Carcinoma|Carcinoma, Non-Small-Cell Lung|Precursor Cell Lymphoblastic Leukemia-Lymphoma|Nasopharyngeal Neoplasms|Ovarian Neoplasms|Esophageal Neoplasms|Neuroendocrine Tumors|Hematologic Neoplasms|Neoplasms, Unknown Primary|Carcinoma, Transitional Cell|Prostatic Neoplasms|Neuroectodermal Tumors|Sarcoma, Ewing|Medulloblastoma|Vision Disorders|Carcinoma, Squamous Cell|Neoplasms, Germ Cell and Embryonal|Liver Neoplasms|Carcinoma, Endometrioid|Brain Neoplasms|Glioma|Neoplasms|Disease Progression|Glioblastoma|Ascites|Carcinoma, Bronchogenic|Small Cell Lung Carcinoma|Sarcoma|Uterine Cervical Neoplasms|Head and Neck Neoplasms
glycitein	Neoplasm Invasiveness|Paralysis|Neurodegenerative Diseases|Astrocytoma
2-cyano-3,12-dioxoolean-1,9-dien-28-oic acid	Multiple Myeloma
brinzolamide	Glaucoma, Open-Angle|Ocular Hypertension
Hexamethonium	Neoplasm Invasiveness|Seizures|Hypotension|Cerebrovascular Disorders|Urinary Bladder, Overactive|Hypertension|Mercury Poisoning, Nervous System|Tachycardia|Hyperemia|Catalepsy|Bradycardia
amprenavir	HIV Infections
2-N-carboxamidinonormianserin	Edema
sudan III	Chromosome Aberrations
Piracetam	Psychoses, Substance-Induced|Seizures|Vertigo|Alcohol Withdrawal Delirium|Learning Disorders|Nystagmus, Pathologic|Drug-Related Side Effects and Adverse Reactions|Myoclonus|Multiple Sclerosis, Chronic Progressive|Memory Disorders|Amnesia
Piribedil	Parkinson Disease|Parkinsonian Disorders
phosphoramidon	Stomach Diseases|Hypertension|Stomach Ulcer|Substance Withdrawal Syndrome
Angiotensin-Converting Enzyme Inhibitors	Seizures|Substance Withdrawal Syndrome|Thrombocytopenia|Hypertension, Renovascular|Glomerulosclerosis, Focal Segmental|Movement Disorders|Cardiomyopathies|Inflammation|Aneurysm, Dissecting|Coronary Artery Disease|Muscular Dystrophy, Duchenne|Heart Failure|Cardiomegaly|Cardiovascular Diseases|Myocardial Ischemia|Endomyocardial Fibrosis|Cocaine-Related Disorders|Coronary Disease|Pulmonary Fibrosis|Hypertension, Malignant|Nephrosclerosis|Cardiomyopathy, Dilated|Diabetes Mellitus, Type 2|Angina Pectoris|Renal Insufficiency|Kidney Diseases|Necrosis|Nephrotic Syndrome|Hypertrophy, Left Ventricular|Ventricular Dysfunction, Left|Myocardial Infarction|Death, Sudden, Cardiac|Aortic Diseases|Scleroderma, Systemic|Albuminuria|Blood Loss, Surgical|Coronary Aneurysm|Stroke|Hypertension|Proteinuria|Diabetic Cardiomyopathies|Arthritis, Rheumatoid|Brain Ischemia
potassium perchlorate	Hyperthyroidism
Bacitracin	Burns
carbidopa, levodopa drug combination	Seizures|Spinocerebellar Ataxias|Amblyopia|Muscle Rigidity|Nocturnal Myoclonus Syndrome|Restless Legs Syndrome|Hyperprolactinemia|Parkinsonian Disorders|Hypokinesia|Catatonia|Parkinson Disease|Catalepsy|Neuroleptic Malignant Syndrome|Parkinson Disease, Secondary
Nicotinyl Alcohol	Myocardial Ischemia
Ciprofloxacin	Abscess|Escherichia coli Infections|Postoperative Complications|Tuberculosis, Spinal|Toxoplasmosis|Pneumonia, Bacterial|Diarrhea|Helicobacter Infections|Mycoplasma Infections|Bacteremia|Neutropenia|Anemia, Sideroblastic|Chlamydia Infections|Genital Diseases, Male|Leukemia, Myelomonocytic, Chronic|Myelodysplastic Syndromes|Urinary Bladder Neoplasms|Lung Neoplasms|Haemophilus Infections|Fever|Pain|Antiphospholipid Syndrome|Malaria|Otitis|Enterobacteriaceae Infections|Endocarditis, Bacterial|Infection|Klebsiella Infections|Cellulitis|Community-Acquired Infections|Gram-Negative Bacterial Infections|Cystic Fibrosis|Diverticulitis|Meningitis, Meningococcal|Rickettsia Infections|Cystitis|Gram-Positive Bacterial Infections|Leukopenia|Typhoid Fever|Staphylococcal Infections|Pyelonephritis|Carcinoma, Transitional Cell|Bronchitis, Chronic|Peritonitis|Weight Loss|Mycobacterium avium-intracellulare Infection|Pneumonia|Lymphatic Diseases|Gonorrhea|Neisseriaceae Infections|Osteitis|Osteomyelitis|Mycobacterium Infections|Crohn Disease|Meningitis|Salmonella Infections|Otitis Media|Lung Injury|Edema|Pseudomonas Infections|Anemia, Refractory, with Excess of Blasts|Proteus Infections|Moraxellaceae Infections|Epididymitis|Bacterial Infections|Arthritis, Infectious|Urinary Tract Infections|Sepsis|Anthrax|Urinary Incontinence|Rectal Fistula|Tuberculosis
LY 53857	Seizures|Fever
temocaprilat	Myocardial Infarction
Phenytoin	Seizures|Substance Withdrawal Syndrome|Epilepsy|Myotonic Dystrophy|Prenatal Exposure Delayed Effects|Epilepsy, Temporal Lobe|Pre-Eclampsia|Encephalomyelitis, Autoimmune, Experimental|Speech Disorders|Atrial Flutter|Status Epilepticus|Movement Disorders|Heart Block|Amnesia|Myoclonus|Hepatolenticular Degeneration|Hyperhidrosis|Ventricular Premature Complexes|Long QT Syndrome|Tachycardia, Ventricular|Dyskinesia, Drug-Induced|Pain|Posterior Leukoencephalopathy Syndrome|Porphyria Cutanea Tarda|Confusion|Hypoxia, Brain|Atherosclerosis|Hypervitaminosis A|Arrhythmias, Cardiac|Epilepsy, Absence|Alcohol Withdrawal Seizures|Drug-Related Side Effects and Adverse Reactions|Tremor|Bone Diseases|Inappropriate ADH Syndrome|Alcohol Withdrawal Delirium|Brain Infarction|Muscular Diseases|Obstetric Labor, Premature|Eclampsia|Paralysis|Brain Diseases|Seizures, Febrile|Lymphatic Diseases|Epilepsy, Complex Partial|Fasciculation|Catalepsy|Nerve Degeneration|Trigeminal Neuralgia|Epilepsy, Generalized|Basal Ganglia Diseases|Epidermolysis Bullosa|Isaacs Syndrome|Pain, Postoperative|Dermatitis, Exfoliative|Psychomotor Agitation|Myoclonic Epilepsies, Progressive|Gait Disorders, Neurologic|Epilepsies, Partial|Subarachnoid Hemorrhage|Neoplasms, Experimental|Ventricular Fibrillation|Hypertensive Encephalopathy|Epilepsy, Tonic-Clonic
citronellyl acetate	Pain
acyline	Infertility, Male
Cardiotoxins	Muscular Diseases
Danazol	Hereditary Angioedema Types I and II|Neutropenia|Pain|Hemoglobinuria, Paroxysmal|Pancytopenia|Angioedemas, Hereditary|Menorrhagia|Purpura, Thrombocytopenic, Idiopathic|Primary Myelofibrosis|Purpura, Thrombocytopenic|Hyperprolactinemia|Anemia, Hemolytic, Autoimmune|Breast Neoplasms|Anemia, Aplastic|Fibroma|Angioedema|Leiomyoma|Thrombocytopenia|Endometriosis|Pulmonary Emphysema
(2-cyano-3,12-dioxooleana-1,9-dien-28-oic acid) trifluoroethylamide	Nerve Degeneration
Mefloquine	Malaria, Cerebral|Sleep Disorders|Malaria, Falciparum|Malaria|Malaria, Vivax
antimicrobial peptide IB-367	Pain|Stomatitis|Deglutition Disorders|Mucositis
Oxyclozanide	Fish Diseases|Ciliophora Infections
5-(4-benzyloxyphenyl)-4S-(7-phenylheptanoylamino)pentanoic acid	Reperfusion Injury
Hydantoins	Tremor|Epilepsy, Tonic-Clonic|Fever
2-(4-(2-(((1,2)-2-hydroxy-2-(4-hydroxyphenyl)-1-methylethyl)amino)ethyl)phenoxy)-2-methylpropionic acid	Urinary Incontinence
Vancomycin	Abscess|Pneumonia, Pneumococcal|Endocarditis, Subacute Bacterial|Postoperative Complications|Pneumonia, Bacterial|Diabetic Foot|Joint Diseases|Pregnancy Complications, Infectious|Compartment Syndromes|Enterocolitis, Pseudomembranous|Endocarditis|Bone Diseases, Infectious|Hepatic Encephalopathy|Discitis|Fever|Meningitis|Pneumococcal Infections|Endocarditis, Bacterial|Infection|Cross Infection|Cellulitis|Community-Acquired Infections|Gram-Negative Bacterial Infections|Pyomyositis|Staphylococcal Skin Infections|Endophthalmitis|Pseudomonas Infections|Gram-Positive Bacterial Infections|Bronchopneumonia|Glomerulonephritis|Meningitis, Listeria|Meningoencephalitis|Pneumonia, Staphylococcal|Skin Diseases, Bacterial|Peritonitis|Pneumonia|Osteomyelitis|Cavernous Sinus Thrombosis|Brain Abscess|Streptococcal Infections|Pericarditis|Bacteremia|Sepsis|Meningitis, Bacterial|Epidural Abscess|Psoas Abscess|Staphylococcal Infections|Bacterial Infections|Meningitis, Pneumococcal|Proteinuria|Urinary Tract Infections
elesclomol	Neoplasm Metastasis|Melanoma
toosendanin	Leukemia, Promyelocytic, Acute|Carcinoma, Hepatocellular|Parasitic Diseases
telenzepine	Seizures|Tremor
bryostatin 1	Lymphoma, Non-Hodgkin|Leukemia|Leukemia, Lymphocytic, Chronic, B-Cell
methylparaben	Psychomotor Agitation|Neurotoxicity Syndromes
6,7-dihydroxyflavone	Amphetamine-Related Disorders|Neurotoxicity Syndromes
XLF-III-43	Glomerulonephritis|Albuminuria|Weight Loss
S 28463	Asthma
AMG 837	Diabetes Mellitus, Type 2
tiemonium methylsulfate	Pain, Postoperative|Genital Diseases, Female
Tosylphenylalanyl Chloromethyl Ketone	Arthritis, Experimental
esculetin	Diarrhea|Kidney Diseases|Colitis, Ulcerative|Ventricular Fibrillation
Papaverine	Dyskinesia, Drug-Induced|Penile Induration|Paresis|Vasospasm, Intracranial|Cerebral Arterial Diseases|Erectile Dysfunction|Impotence, Vasculogenic|Arrhythmias, Cardiac|Spasm
1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester	Necrosis|Drug-Related Side Effects and Adverse Reactions|Ventricular Fibrillation|Mercury Poisoning, Nervous System
2,2-dichloro-12-(p-chlorophenyl)-dodecanoic acid	Diabetes Mellitus, Experimental|Hyperglycemia|Insulin Resistance|Dyslipidemias|Diabetes Mellitus, Type 2
adolapin	Fever|Pain|Inflammation
inchinko-to	Liver Cirrhosis, Experimental
tobanum	Arrhythmias, Cardiac
Fullerenes	Substance Withdrawal Syndrome|Erythema
papaverine, phentolamine drug combination	Penile Induration|Erectile Dysfunction
arachidonylcyclopropylamide	Pancreatic Neoplasms
4-(((4-carboxybutyl) (2- (5-fluoro-2-((4'-(trifluoromethyl) biphenyl-4-yl)methoxy)phenyl)ethyl) amino)methyl)benzoic acid	Liver Cirrhosis, Experimental
tenecteplase	Myocardial Infarction|Coronary Thrombosis
telaprevir	Hepatitis C, Chronic|Hepatitis C
DAT protocol 1	Leukemia, Myeloid, Acute
apraclonidine	Eyelid Diseases|Glaucoma, Open-Angle|Pain, Postoperative|Anisocoria|Ocular Hypertension
N-(3-chlorophenyl)-2-(4-((2,4-dioxothiazolidin-5-ylidene)methyl)phenoxy)acetamide	Arthritis|Disease Models, Animal|Edema
N-phenyl-7-(hydroxyimino)cyclopropa(b)chromen-1a-carboxamide	Parkinson Disease
daunorubicin-DNA	Leukemia, Myeloid, Acute
notoginseny	Phlebitis
norisoboldine	Hyperplasia|Arthritis, Experimental
nitroxoline	Urinary Bladder Neoplasms|Urinary Tract Infections
Zeatin	Amnesia
Pimavanserin	Hyperkinesis|Akathisia, Drug-Induced|Catalepsy|Psychoses, Substance-Induced|Tremor
cobaltous chloride	Infarction, Middle Cerebral Artery|Radiation Injuries, Experimental|Diabetic Nephropathies|Kidney Diseases|Kidney Tubular Necrosis, Acute|Nephritis|Proteinuria|Reperfusion Injury|Hypertension|Micronuclei, Chromosome-Defective|Drug-Induced Liver Injury|Carcinoma, Pancreatic Ductal|Myocardial Infarction|Neoplasms, Experimental|Necrosis|Memory Disorders|Hypoxia-Ischemia, Brain
5-androstene-16-fluoro-17-one	Mammary Neoplasms, Experimental
valganciclovir	Cytomegalovirus Retinitis
alpha-Tocopherol	Seizures|Acute Kidney Injury|Reperfusion Injury|Retinitis Pigmentosa|Glomerulosclerosis, Focal Segmental|Nerve Degeneration|Brain Injuries|Neoplasm Metastasis|Nervous System Diseases|Lung Neoplasms|Ischemia|Fever|Pain|Cardiovascular Diseases|Fibrosis|Radiation Injuries|Carcinoma 256, Walker|Cystitis|Drug-Related Side Effects and Adverse Reactions|Precancerous Conditions|Atrophy|Myocardial Infarction|Necrosis|Memory Disorders|Neoplasms, Experimental|Muscular Diseases|Hyperplasia|Leukemia, Promyelocytic, Acute|Osteolysis|Kidney Diseases|Renal Insufficiency|Pseudoxanthoma Elasticum|Cell Transformation, Neoplastic|Drug-Induced Liver Injury|Poisoning|Liver Neoplasms|Glioma|Chromosome Breakage|Hyperlipidemias|Ovarian Diseases|Disease Progression|Anemia, Sickle Cell|Hypertension|Proteinuria|Hemolysis|Neural Tube Defects|Body Weight Changes|Uterine Diseases|Pulmonary Eosinophilia
ICI 154129	Seizures
Morphine	Seizures|Hyperesthesia|Reperfusion Injury|Mucositis|Substance Withdrawal Syndrome|Back Pain|Spasm|Diarrhea|Pulmonary Edema|Movement Disorders|Urinary Bladder, Overactive|Amnesia|Staphylococcal Infections|Hyperemia|Lung Neoplasms|Headache|Dyskinesia, Drug-Induced|Nociceptive Pain|Pain|Hyaline Membrane Disease|Myocardial Reperfusion Injury|Complex Regional Pain Syndromes|Peripheral Nervous System Diseases|Cholecystitis|Arrhythmias, Cardiac|Hyperalgesia|Sphincter of Oddi Dysfunction|Hallucinations|Coronary Disease|Cough|Cardiomyopathy, Dilated|Brain Ischemia|Consciousness Disorders|Postoperative Nausea and Vomiting|Abdominal Pain|Pain, Postoperative|Peritonitis|Urination Disorders|Hyperkinesis|Chest Pain|Myocardial Infarction|Delirium|Vomiting|Diabetes Insipidus|Temporomandibular Joint Disorders|Burns|Low Back Pain|Facial Pain|Edema|Neuralgia|Colonic Neoplasms|Hypertension|Labor Pain|Sciatica|Heart Diseases|Pain, Intractable|Dyspnea
clavulones	Leukemia, Myeloid
Quinolinic Acid	Catalepsy
loxoprofen	Back Pain|Arthritis|Pain
4-(nitroxy)butanoic acid 4-acetylaminophenyl ester	Hyperalgesia|Pain
SIB 1893	Seizures
zatebradine	Tachycardia|Myocardial Ischemia|Tachycardia, Ventricular|Angina Pectoris|Bradycardia
CMI 392	Inflammation|Edema
Mesterolone	Hypopituitarism
Heterocyclic Compounds, 1-Ring	Hyperalgesia|Inflammation|Edema
Histidinol	Fanconi Syndrome
tiprenolol	Tachycardia, Ventricular|Tachycardia|Hypotension|Hypertension
SGA 360	Inflammation|Edema
syringin	Bone Resorption
1-methylergotamine	Migraine Disorders
rebamipide	Gastroesophageal Reflux|Stomach Neoplasms|Intestinal Diseases|Stomach Diseases|Stomach Ulcer
diethoxyphosphoryloxymethyl butanoate	Breast Neoplasms
Misonidazole	Stomach Neoplasms|Gastrointestinal Neoplasms|Sarcoma, Experimental|Leukemia L1210|Neoplasms|Breast Neoplasms|Colonic Neoplasms|Adenocarcinoma|Mammary Neoplasms, Experimental|Carcinoma, Squamous Cell|Neoplasms, Experimental|Lung Neoplasms|Pancreatic Neoplasms|Head and Neck Neoplasms
Phloroglucinol	Radiation Injuries|Fibrosis
Nafcillin	Abscess|Sepsis|Pneumonia, Staphylococcal|Meningitis, Haemophilus|Endocarditis, Bacterial|Bacteremia|Staphylococcal Infections|Bacterial Infections|Arthritis, Infectious|Endocarditis|Osteomyelitis|Meningitis, Bacterial|Pseudomonas Infections|Haemophilus Infections
miglitol	Hyperglycemia
dehydroxymethylepoxyquinomicin	Pancreatic Neoplasms|Shock, Septic
5-hydroxytryptoline	Hypothermia
6,7-dichloroquinoxaline-2,3-dione	Seizures|Cocaine-Related Disorders
ajulemic acid	Joint Diseases
N,N'-monomethylenebis(pyridiniumaldoxime)	Poisoning
5,10,15,20-tetrakis(N-methyl-4'-pyridyl)porphyrinato-iron(III)	Nervous System Diseases|Fever|Mitochondrial Diseases|Drug-Related Side Effects and Adverse Reactions|Heart Diseases
1-(1,3-benzodioxol-5-ylcarbonyl)piperidine	Hyperkinesis
antimacrophage globulin	Rheumatic Fever
Lysergic Acid Diethylamide	Catalepsy|Hypokinesia
hypericin	Pain|Glioblastoma
Albuterol	Gas Poisoning|Asthma|Hyperkalemia|Lung Diseases, Obstructive|Coronary Artery Disease|Bronchial Spasm|Heart Failure|Arthritis, Experimental|Lung Diseases|Status Asthmaticus|Obstetric Labor, Premature|Respiratory Sounds|Myocarditis|Respiratory Tract Infections|Bronchitis, Chronic|Ventricular Dysfunction, Left|Pulmonary Disease, Chronic Obstructive|Kidney Failure, Chronic|Hypertension|Anaphylaxis|Spasm|Dyspnea
1-Deoxynojirimycin	Hepatomegaly|Hyperglycemia|Insulin Resistance|Weight Gain
Vasopressins	Hemorrhage|Hematuria|Hypotension|Vasoplegia
1'-acetoxyeugenol	Breast Neoplasms
Imipramine	Seizures|Neoplasms|Nerve Degeneration|Pain|Malaria|Bulimia|Blepharoptosis|Hyperalgesia|Drug-Related Side Effects and Adverse Reactions|Tremor|Enuresis|Hypokinesia|Consciousness Disorders|Sleep Deprivation|Hyperkinesis|Diabetic Neuropathies|Catalepsy|Hypothermia|Edema|Nocturnal Enuresis|Basal Ganglia Diseases|Sialorrhea|Neurobehavioral Manifestations|Urinary Incontinence|Migraine Disorders|Inflammation
Xamoterol	Atrial Fibrillation|Tachycardia|Heart Failure
LB 11058	Staphylococcal Infections|Endocarditis, Bacterial
Octreotide	Esophageal and Gastric Varices|Paraproteinemias|Carcinoma, Lewis Lung|Melanoma|Postoperative Complications|Diarrhea|Neoplasm Metastasis|Pituitary Neoplasms|Adenocarcinoma|Hemorrhagic Disorders|Acromegaly|Congenital Hyperinsulinism|Neovascularization, Pathologic|Fibrosis|Headache|Stomach Neoplasms|Liver Cirrhosis, Experimental|Pancreatic Pseudocyst|Urinary Bladder Neoplasms|Pain|Adenoma|Prolactinoma|Hypotension, Orthostatic|Thymoma|Hypogonadism|Neuroendocrine Tumors|Gallstones|Abdominal Pain|Hypoglycemia|Cluster Headache|Chylous Ascites|Liver Cirrhosis|Carcinoma, Islet Cell|Pancreatic Neoplasms|Hypertension, Portal|Pancreatitis|Albuminuria|Gastritis|Carcinoma, Hepatocellular|Malignant Carcinoid Syndrome|Cholelithiasis|Hypercalcemia|Carcinoid Tumor|Growth Hormone-Secreting Pituitary Adenoma
Linoleic Acids	Hypercholesterolemia|Fatty Liver|Hypertriglyceridemia|Hyperlipidemias
Cytostatic Agents	Polyarteritis Nodosa
BMS204352	Hyperkinesis
ChlVPP-EVA regimen	Hodgkin Disease
PP regimen	Melanoma
Pyrilamine	Seizures|Penile Diseases|Pain|Edema|Vomiting|Eosinophilia|Erythema|Hyperemia|Catalepsy|Headache
Promazine	Psychoses, Substance-Induced|Epilepsy, Absence|Hyperemesis Gravidarum|Tremor
1,3-diacetoxytetradeca-6,12-dien-8,10-diyne	Edema
Cyproheptadine	Seizures|Serotonin Syndrome|Substance Withdrawal Syndrome|Fever|Aortic Valve Insufficiency|Malaria|Edema|Pruritus|Nelson Syndrome|Sexual Dysfunction, Physiological|Hyperkinesis|Hypotension|Hypertension|Weight Loss|Cushing Syndrome|Tremor|Anorexia|Anoxia|Catalepsy|Bradycardia
2-(4-(2-carboxyethyl)phenethylamino)-5'-N-ethylcarboxamidoadenosine	Seizures|Dyskinesia, Drug-Induced|Substance Withdrawal Syndrome|Hyperkinesis|Movement Disorders|Nerve Degeneration|Brain Injuries
sunflower seed oil	Stomach Diseases
61-bis(1-adamantylcarbamoyl)-1,2-methano(60)fullerene	Catalepsy
antimony sodium tartrate	Leishmaniasis, Visceral
4-(6-hydroxy-2-naphthyl)-1,3-benzenediol	Neoplasms
Thiazides	Polyuria|Hypertension|Pulmonary Edema|Diabetes Insipidus, Nephrogenic|Osteoporosis
FEC protocol	Breast Neoplasms|Adenocarcinoma, Mucinous
Cystamine	Liver Cirrhosis, Experimental|Acquired Immunodeficiency Syndrome
carbogen	Breast Neoplasms
tolcapone	Parkinson Disease|Tuberculosis, Multidrug-Resistant|Extensively Drug-Resistant Tuberculosis|Catalepsy|Alzheimer Disease
pomalidomide	Multiple Myeloma
Benserazide	Dyskinesia, Drug-Induced|Hypotension|Parkinsonian Disorders|Hyperalgesia|Hypotension, Orthostatic|Parkinson Disease, Secondary|Parkinson Disease|Arrhythmias, Cardiac|Bradycardia
Piroxicam	Esophageal Neoplasms|Gastrointestinal Neoplasms|Athletic Injuries|Myocardial Infarction|Edema|Osteoarthritis, Hip|Mesothelioma|Pain, Postoperative|Neoplasms|Osteoarthritis|Pain|Adenoma|Pneumonia|Colonic Neoplasms|Urinary Bladder Neoplasms|Inflammation|Intestinal Neoplasms|Arthritis, Rheumatoid|Adenomatous Polyps|Lung Neoplasms|Uveitis, Anterior
4-hydroxypyrazole	Lung Neoplasms
methanesulfonamide	Neoplasms
alopestatin	Alopecia
Organoplatinum Compounds	Breast Neoplasms|Colorectal Neoplasms|Carcinoma, Non-Small-Cell Lung|Glioblastoma|Ovarian Neoplasms
etazepine	Seizures
cyclohexyl carbamic acid 3'-carbamoylbiphenyl-3-yl ester	Seizures|Tobacco Use Disorder|Edema|Movement Disorders|Hyperkinesis|Hyperalgesia|Cocaine-Related Disorders
Maytansine	Leishmaniasis
SK&F 106760	Carotid Artery Thrombosis
