Drug Name	Gene Symbol
5-(2-ETHOXYETHYL)-5-[4-(4-FLUOROPHENOXY)PHENOXY]PYRIMIDINE-2,4,6(1H,3H,5H)-TRIONE	MMP13
N-cyclopropyl-2',6-dimethyl-4'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-3-carboxamide	MAPK14
Inhibitor Idd 384	AKR1B1
Glisoxepide	KCNJ8
6-Fluoro-2-(2'-Fluoro-1,1'-Biphenyl-4-Yl)-3-Methylquinoline-4-Carboxylic Acid	DHODH
Lpc-Ether	GM2A|PLA2G1B
(2S,3S)-4-cyclopropyl-3-{(3R,5R)-3-[2-fluoro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazolidin-5-yl}-1-[(3S)-3-fluoropyrrolidin-1-yl]-1-oxobutan-2-amine	DPP4
7-[2-METHOXY-1-(METHOXYMETHYL)ETHYL]-7H-PYRROLO[3,2-F] QUINAZOLINE-1,3-DIAMINE	DHFRL1
Donepezil	ACHE|HTR2A
1,4-Dithiothreitol	TRPM7|AXIN1|GSTZ1|CAMK2A|ALDH1A1|TPI1|HMGCR|LGALS1|MSRA|PPIB
Flunisolide	NR3C1
Irbesartan	AGTR1|JUN
(Hydroxyethyloxy)Tri(Ethyloxy)Octane	PNLIP|RHO
4-[(10s,14s,18s)-18-(2-Amino-2-Oxoethyl)-14-(1-Naphthylmethyl)-8,17,20-Trioxo-7,16,19-Triazaspiro[5.14]Icos-11-En-10-Yl]Benzylphosphonic Acid	GRB2
2-Aminobenzoic Acid	DAO
CHF 4227	ESR2|ESR1
4-({5-[(4-AMINOCYCLOHEXYL)AMINO][1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL}AMINO)BENZENESULFONAMIDE	CDK2
Clobetasol propionate	NR3C1
Methsuximide	CACNA1G
2-(1,3-benzodioxol-5-yl)-5-[(3-fluoro-4-methoxybenzyl)sulfanyl]-1,3,4-oxadiazole	GSK3B
XL184	MET|TEK|KDR|KIT
Bupropion	SLC6A3|SLC6A2|CHRNA3
Dinoprostone	PTGER4|PTGER1|PTGER2|PTGER3
Fumarate	FAH|ME2
Thioproperazine	ADRA1A|ADRA1B|DRD2|DRD1|HTR2A|HTR1A
Timolol	ADRB1|ADRB2
6-ETHYL-5-[9-(3-METHOXYPROPYL)-9H-CARBAZOL-2-YL]PYRIMIDINE-2,4-DIAMINE	REN
Di-Linoleoyl-3-Sn-Phosphatidylcholine	PCTP
Metreleptin	LEPROT
2-Amino-3-(3-Hydroxy-7,8-Dihydro-6h-Cyclohepta[D]-4-Isoxazolyl)Propionic Acid	GRIA2
Dapiprazole	ADRA1A|ADRA1B|ADRA1D
1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide	PDE4B
Montelukast	ALOX5|CYSLTR1
SULTHIAME	CA2
4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide	CA2
3-(5-{[4-(AMINOMETHYL)PIPERIDIN-1-YL]METHYL}-1H-INDOL-2-YL)QUINOLIN-2(1H)-ONE	CHEK1
LY2181308	BIRC5
Lysergic Acid Diethylamide	HTR1A
N-Methyl-N-Propargyl-1(R)-Aminoindan	MAOB
Acenocoumarol	VKORC1
Triazolopyridine	MAPK14
Ibrutinib	BTK
Galantamine	CHRND|CHRNE|CHRNB1|CHRNB3|CHRNB2|CHRNB4|CHRNA10|CHRNA4|CHRNA5|CHRNA6|CHRNG|BCHE|CHRNA1|CHRNA2|CHRNA3|ACHE|CHRNA9
Hydroxy-Phenyl-Acetic Acid 8-Methyl-8-Aza-Bicyclo[3.2.1]Oct-3-Yl Ester	CES1
1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine	TP53
Compound 19	PTPN1|ESR1
Compound 18	ESR1
Sotalol	ADRB1|ADRB2|KCNH2
2,6-dicarboxynaphthalene	HBA2|HBB
SR-123781A	F2R|SERPINC1
4-[(5-methoxy-2-methylphenoxy)methyl]pyridine	HBA2|HBB
1-Deoxynojirimycin	MAN1B1
Hydroxyzine	HRH1
Imipramine	SLC6A3|SLC6A2|SLC6A4|HTR2A|HTR2C|HRH1|KCND3|KCND2|CHRM5|CHRM4|CHRM3|CHRM2|CHRM1|HTR6|HTR7|ADRA1A|ADRA1B|ADRA1D|KCNH2|DRD5|DRD2|DRD1|HTR1A
Acetazolamide	AQP1|CA3|CA2|CA1|CA14|CA4
Succinylcholine	CHRM3|CHRNA10|CHRM1|CHRM2
Salmeterol	ADRB2
Purine Riboside	ADA
Glutethimide	GABRB3|GABRG3|GABRG2|GABRG1|GABRQ|GABRP|GABRD|GABRE|GABRB1|GABRA5|GABRA4|GABRB2|GABRA6|GABRA1|GABRA3|GABRA2
B-2-Octylglucoside	TGM3|RHO
Octreotide	SSTR1|SSTR2|SSTR5
N-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide	MAPK14
3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER	F2
N-(3-chlorophenyl)-N-methyl-2-oxo-3-[(3,4,5-trimethyl-1H-pyrrol-2-yl)methyl]-2H-indole-5-sulfonamide	MET
Rotigotine	DRD4|DRD5|DRD2|DRD3|ADRA2B|DRD1|HTR1A
Lisuride	DRD3|DRD4|DRD5|DRD2|ADRA2A|ADRA2B|ADRA2C|HTR2A|HTR2C|HTR2B|HTR1D|DRD1|HTR1A|HTR1B
D-Myo-Inositol-1,4,5-Triphosphate	ITPR1|EPN1|RDX|ITPKA|PLCD1|CYTH2|SPTBN1
Ritodrine	ADRB2
MB07811	THRB
Dinor-N(Omega)-Hydroxy-L-Arginine	ARG1
IMC-11F8	EGFR
4-(6-{[(4-METHYLCYCLOHEXYL)AMINO]METHYL}-1,4-DIHYDROINDENO[1,2-C]PYRAZOL-3-YL)BENZOIC ACID	CHEK1
Sodium stibogluconate	TOP1
Pentosan Polysulfate	FGF4|FGF2|FGF1
L-[(N-Hydroxyamino)Carbonyl]Phenylalanine	CPA1
Orphenadrine	SLC6A2|GRIN3A|GRIN3B|GRIN2D|HRH1|GRIN1
Selenocysteine	CAMP|NME1
1-ACETYL-2-CARBOXYPIPERIDINE	ATP5C1|ATP5B|ATP5A1
[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL](3-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}PHENYL)METHANONE	MAPK14
Trimetazidine	ACAA1
7n-Methyl-8-Hydroguanosine-5'-Diphosphate	EIF4E|DCPS
Promazine	ADRA1A|ADRA1B|ADRA1D|DRD2|CHRM5|CHRM4|CHRM3|CHRM2|CHRM1|DRD1|HTR2A|HTR2C|HRH1|DRD4
Forasartan	AGTR1
Cosyntropin	MC2R
AL4623	CA2
Etheno-Nad	BST1|LDHA
Docetaxel	MAPT|TUBB1|MAP2|NR1I2|MAP4|BCL2
3-Thiaoctanoyl-Coenzyme A	ACADM
(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile	PIM1
5-Bromo-N-(2,3-Dihydroxypropoxy)-3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)Amino]Benzamide	MAP2K1
Medroxyprogesterone Acetate	PGR|ESR1
(3-Carboxy-2-(R)-Hydroxy-Propyl)-Trimethyl-Ammonium	CRAT|CROT
Idursulfase	PLIN3
Phosphoric Acid-2'-[2'-Deoxy-Uridine]Ester-5'-Guanosine Ester	RNASE1
Lenvatinib	FGFR3|KIT|FLT4|FGFR1|FGFR2|FGFR4|KDR|FLT1
Streptomycin	PADI4
2-(CYCLOHEXYLMETHYLAMINO)-4-(PHENYLAMINO)PYRAZOLO[1,5-A][1,3,5]TRIAZINE-8-CARBONITRILE	CSNK2A1
Cyproheptadine	CHRM3|CHRM2|CHRM1|HTR2A|HTR2C|HRH1
Flunitrazepam	GABRA5|GABRA4|GABRA6|TSPO|GABRA3|GABRA2
(1S)-1,2,3,4-TETRAHYDRO-BENZO[C]PHENANTHRENE-2,3,4-TRIOL	POLB
Levodopa	DRD4|DRD5|DRD2|DRD3|DRD1
Carprofen	PTGS2|PTGS1
(2E)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one	PLA2G2E
Pyridoxal Phosphate	SEPSECS|AGXT2|DDC|OAT|HDC|ABAT|PDXP|CTH|GAD1|TAT|PSAT1|SGPL1|KYNU|GLDC|MOCOS|IGSF10|ODC1|ALAS1|PYGB|SPTLC2|THNSL1|SPTLC1|GOT2|GOT1|PYGL|PYGM|PHYKPL|BCAT2|BCAT1|SRR|ADC|GPT|GCAT|SHMT2|SHMT1|SCLY|SDSL|PDXDC1|GPT2|AGXT|CSAD|NFS1|CBS|FTCD|PNPO|CCBL1|PROSC|CCBL2
9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE	WEE1
TTP889	F9
Salicylic acid	PTGS2|PTGS1|AKR1C1
Aldesleukin	IL2RA|IL2RB|IL2RG
2,2,5,5-TETRAMETHYL-3-(SULFANYLMETHYL)-2,5-DIHYDRO-1H-PYRROL-1-OL	EIF4E|CEACAM5
Saprisartan	AGTR1
(5-phenyl-7-(pyridin-3-ylmethylamino)pyrazolo[1,5-a]pyrimidin-3-yl)methanol	CDK2
2-[5-Hydroxy-3-Methyl-1-(2-Methyl-4-Sulfo-Phenyl)-1h-Pyrazol-4-Ylazo]-4-Sulfo-Benzoic Acid	ATIC
(5-CHLORO-2-{[(3-NITROBENZYL)AMINO]CARBONYL}PHENOXY)ACETIC ACID	AKR1B1
S,S-(2-Hydroxyethyl)Thiocysteine	SNX3|PIM1|ARG1|TYMS|PRKACA|PDE1B|PDE4B|CYTH2|SERPINB5
XL765	PIK3CA|PIK3CB|MTOR|PIK3CD|PIK3CG
4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile	AR
4-[5-(3-IODO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-1H-IMIDAZOL-4-YL]-PYRIDINE	MAPK14
Acamprosate	GABRG3|GABRG2|GABRG1|GABRA5|GABRA4|GABRA6|GABRA1|GABRA3|GABRA2|GRIN3A|GRIN3B|GRM5|GRIN1|GABRB1|GABRB2|GABRB3|GABRQ|GABRP|GRIN2B|GRIN2C|GRIN2A|GRIN2D|GABRE|GABRD
Tramadol	SLC6A2|SLC6A4|CHRM3|GRIN3A|OPRM1|OPRD1|HTR2C|OPRK1
Valsartan	AGTR1
Zinc Trihydroxide	GSTM1
NM100060	SQLE
2,2,2-TRIFLUORO-1-{5-[(3-PHENYL-5,6-DIHYDROIMIDAZO[1,2-A]PYRAZIN-7(8H)-YL)CARBONYL]THIOPHEN-2-YL}ETHANE-1,1-DIOL	HDAC4
Tadalafil	PDE5A
D-[(N-Hydroxyamino)Carbonyl]Phenylalanine	CPA1
3,8-Diamino-6-Phenyl-5-[6-[1-[2-[(1,2,3,4-Tetrahydro-9-Acridinyl)Amino]Ethyl]-1h-1,2,3-Triazol-4-Yl]Hexyl]-Phenanthridinium	ACHE
{[(2,6-difluorophenyl)carbonyl]amino}-N-(4-fluorophenyl)-1H-pyrazole-3-carboxamide	CDK2
N,O6-Disulfo-Glucosamine	HGF|ANXA5|HS3ST3A1|FGF2|FGF1
2-OXOHEPTYLPHOSPHONIC ACID	ENOPH1
Udenafil	PDE5A
Procainamide	DNMT1|SCN5A
N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide	ABL1
(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE	UQCR10|UQCR11|CYTB|CYC1|UQCRB|UQCRQ|UQCRH|UQCRFS1|UQCRC2|UQCRC1
6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide	PLAU
Benzylcysteine	MGMT
Dicoumarol	VKORC1|CRYZ|NQO1
Asenapine	ADRA1A|HTR5A|DRD3|HTR7|DRD4|HRH1|DRD2|ADRA2A|ADRA2B|ADRA2C|HTR6|ADRB1|ADRB2|HRH2|HTR2C|HTR2B|HTR2A|DRD1|HTR1A|HTR1B
Alprenolol	ADRB1|ADRB2|HTR1A
1-(4-Tert-Butylcarbamoyl-Piperazine-1-Carbonyl)-3-(3-Guanidino-Propyl)-4-Oxo-Azetidine-2-Carboxylic Acid	PRSS1
(4R)-4-(3-butoxy-4-methoxybenzyl)imidazolidin-2-one	PDE4A|PDE4D
2'-Deoxyguanosine-5'-Triphosphate	NME1
BENZOTHIAZOLE	F2
Nedocromil	PTGDR|FPR1|HSP90AA1|CYSLTR2|CYSLTR1
Eszopiclone	GABRB3|GABRG3|TSPO|GABRG1|GABRG2|GABRQ|GABRP|GABRD|GABRE|GABRB1|GABRA5|GABRA4|GABRB2|GABRA6|GABRA1|GABRA3|GABRA2
Prednisolone	NR3C1
octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside	ABO
CDB-2914	PGR
(5Z)-13-CHLORO-14,16-DIHYDROXY-3,4,7,8,9,10-HEXAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,11(12H)-DIONE	HSP90AB1
4-Methyl-Histidine	ACTA1
2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid	MMP9
1h-Benoximidazole-2-Carboxylic Acid	CTSD
3-Phenylpyruvic Acid	HAO1
2'-Deoxyuridine 3'-Monophosphate	RNASE1|RNASE4
(S)-2-METHYL-1-[(4-METHYL-5-ISOQUINOLINE)SULFONYL]-HOMOPIPERAZINE	PRKACA|ROCK1|PKIA
Epoprostenol	PTGIS|P2RY12|PTGIR
Captodiame	SIGMAR1|HTR2C|DRD3
Cladribine	POLA1|PNP|POLE|POLE4|RRM2B|RRM2|RRM1|POLE3|POLE2
Elacridar	ABCB1
Azimilide	KCNE1|KCNQ1|KCNH2
Interferon gamma-1b	IFNGR1|IFNGR2
1-(4-thiophen-2-ylphenyl)methanamine	LTA4H
Propafenone	SCN5A|KCNH2
AV411	NTF3|NTF4|IL10|IL6|TNF|GDNF|IL1B
CT-011	PDCD1
N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE	CTSS
(6AR,11AS,11BR)-10-ACETYL-9-HYDROXY-7,7-DIMETHYL-2,6,6A,7,11A,11B-HEXAHYDRO-11H-PYRROLO[1',2':2,3]ISOINDOLO[4,5,6-CD]INDOL-11-ONE	ATP2A1
5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE	PTPN1
5-[(E)-(5-CHLORO-2-OXO-1,2-DIHYDRO-3H-INDOL-3-YLIDENE)METHYL]-N-[2-(DIETHYLAMINO)ETHYL]-2,4-DIMETHYL-1H-PYRROLE-3-CARBOXAMIDE	CAMK1G
9-Butyl-8-(3-Methoxybenzyl)-9h-Purin-6-Amine	HSP90AA1
(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate	CASP3
Lumiracoxib	PTGS2|PTGS1
V24343	CNR1
1,1,1,3,3,3-HEXAFLUORO-2-{4-[(2,2,2-TRIFLUOROETHYL)AMINO]PHENYL}PROPAN-2-OL	NR1H2
Topotecan	TOP1MT|TOP1
Minaprine	SLC6A4|DRD2|CHRM1|DRD1|MAOA|HTR2A|HTR2C|HTR2B|ACHE
N-Omega-Propyl-L-Arginine	NOS1|NOS2
Alizapride	DRD2
Fluoxetine	SLC6A4
4-(1-methyl-1-phenylethyl)phenol	ESRRG
N-(2-METHOXYETHYL)-4-({4-[2-METHYL-1-(1-METHYLETHYL)-1H-IMIDAZOL-5-YL]PYRIMIDIN-2-YL}AMINO)BENZENESULFONAMIDE	CDK2
N-(2-AMINOETHYL)-N~2~-{(1S)-1-[4'-(AMINOSULFONYL)BIPHENYL-4-YL]-2,2,2-TRIFLUOROETHYL}-L-LEUCINAMIDE	CTSK
(3-{3-[[2-Chloro-3-(Trifluoromethyl)Benzyl](2,2-Diphenylethyl)Amino]Propoxy}Phenyl)Acetic Acid	NR1H2
Thioproline	ANXA5
GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE	PNP
3(R)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID TERT-BUTYL ESTER	PTPN1
Nicotine	CYP19A1|CHRNB3|CHRNB2|CHRNB4|CHRNA10|CHRNA4|CHRNA5|CHRNA6|CHRNA2|CHRNA3|CHRNA9
Ethynodiol	PGR|ESR1
ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE	NOS2|NOS3
Mepenzolate	CHRM3|CHRM1
Tenoxicam	PTGS2|PTGS1
2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHANESULFONAMIDE	F2|F10
Tricarballylic Acid	ACO2
Diphenidol	CHRM3|CHRM2|CHRM1
Decylamine-N,N-Dimethyl-N-Oxide	DHODH|PNLIPRP2
Clocortolone	NR3C1
3-Sulfinoalanine	GSR|PRDX2|PAPOLA
N-Propyl Isocyanide	MB
Nilvadipine	CACNA1S|CACNB2|CACNA1C|CACNA1D|CACNA2D3|CACNA2D1
Suvorexant	HCRTR1|HCRTR2
TNX-901	FCER1A
5-CHLORO-N-(2-(4-(2-OXOPYRIDIN-1(2H)-YL)BENZAMIDO)ETHYL)THIOPHENE-2-CARBOXAMIDE	F10
Cyclandelate	CES1|CACNA2D1
N-[2-(4-BROMOCINNAMYLAMINO)ETHYL]-5-ISOQUINOLINE SULFONAMIDE	GSG2|PRKACA|PKIA
(3Z)-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-4-phenyl-1H-indole-2,3-dione 3-oxime	MAPK10
METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID	MMP8|MMP1
(5BETA)-PREGNANE-3,20-DIONE	NR1I3|NCOA1|RXRA
3-(HYDROXYMETHYL)-1-METHYL-5-(2-METHYLAZIRIDIN-1-YL)-2-PHENYL-1H-INDOLE-4,7-DIONE	NQO1
Dcka, 5,7-Dichlorokynurenic Acid	GRIN1
Tolmetin	PTGS2|PTGS1
S-Adenosylmethionine	GNMT|MAT1A|COMT|CBS|MAT2A|AMD1
Lucanthone	APEX1|TOP1|TOP2A
Guanosine-5'-Diphosphate	TGM2|TGM3|GMDS|ARL1|NME1-NME2|HRAS|RAB7A|GNAT1|SAR1B|ADSSL1|EIF2S3|GNAI1|RAB8B|RALA|RAN|ARF1|ARF6|ARF4|RAB11A|EFTUD1|EEF1A1|ARL3|GSPT1|RAP2A|RAB5A|RAC1|IRGC|RHOA|ARL5A|ARL5B|RAB9A|NME1|TUFM|RHEB|EEF2|CDC42
(3E)-5-fluoro-1-[(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl]-1H-indole-2,3-dione 3-oxime	MAPK10
(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE	AR
N'-((2S,3R)-3-AMINO-2-HYDROXY-5-(ISOPROPYLSULFANYL)PENTANOYL)-N-3-CHLOROBENZOYL HYDRAZIDE	METAP2
DPI59	SRC
Conjugated Estrogens	ESR1
3-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE	F10
2,5-DICHLORO-N-(5-CHLORO-1,3-BENZOXAZOL-2-YL)BENZENESULFONAMIDE	FBP1
Tazarotene	RARA|RARB|RARG|RXRB
Ocriplasmin	A2M|FN1|SERPINF2
Phentolamine	ADRA1A|ADRA2A
1-METHYL-5-(2-PHENOXYMETHYL-PYRROLIDINE-1-SULFONYL)-1H-INDOLE-2,3-DIONE	CASP3
Nor-N-Omega-Hydroxy-L-Arginine	ARG1
N-Acetylmethionine	RHO
Methylphosphinic Acid	ACHE|BCHE
2-(6-HYDROXY-1,3-BENZOTHIAZOL-2-YL)-1,3-THIAZOL-4(5H)-ONE	ACSBG1
Magnesium Sulfate	CACNA1S|CACNB2|CACNB1|CACNA1C|CACNG1|CACNA2D1
3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5,6-Dihydro-4h-Pyrrolo[1,2-B]Pyrazole	TGFBR1
GSK-923295	CENPE
Oxymetazoline	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C
Nizatidine	HRH2
Malonic acid	SRC|SNRPA
Disulfiram	DBH|ALDH2
Regorafenib	PDGFRB|PDGFRA|TEK|DDR2|FGFR2|EPHA2|RET|KIT|FRK|MAPK11|BRAF|ABL1|FLT4|FGFR1|RAF1|NTRK1|KDR|FLT1
(4-{4-[(TERT-BUTOXYCARBONYL)AMINO]-2,2-BIS(ETHOXYCARBONYL)BUTYL}PHENYL)SULFAMIC ACID	PTPRB
Phosphoaminophosphonic Acid-Adenylate Ester	GSS|ACTA1|EPHA2|MAPK10|MAPK12|KIF2C|CCT3|ITPKA|SRPK2|TOP2B|DAPK1|EPHB2|IGF1R|PIM1|CFTR|HK1|VCP|CSNK2A1|KIF1A|TRPM7|GALK1|PFKFB4|GSK3B|DTYMK|RAD51|LCK
2,3,-Dihydroxybenzoylserine	LCN2
2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE	CYP1A2
Abatacept	CD80|CD86
Hydroxyprogesterone caproate	PGR
Aflibercept	PGF|VEGFA|VEGFB
Olmesartan	AGTR1
Bexarotene	RXRG|RXRA|RXRB
(R)-tacrine(10)-hupyridone	ACHE
7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE	PTK2
Alpha-D-Fucose	LTF
Nefazodone	ADRA1A|SLC6A2|ADRA1B|SLC6A3|SLC6A4|ADRA2A|HTR2A|HTR2C|HTR1A
5-[3-(BENZYLAMINO)PHENYL]-4-BROMO-3-(CARBOXYMETHOXY)THIOPHENE-2-CARBOXYLIC ACID	PTPN1
Palivizumab	FCGR2B|FCGR3A|C1QC|C1QB|C1QA|FCGR3B|FCGR1A|C1R|FCGR2A
RU85493	SRC
Guanidine	RNASE1|GAMT|DLG4|ALDH2
Tripelennamine	HRH1
Natalizumab	FCGR1A|C1QC|ITGA4|C1QB|C1QA|FCGR3B|ICAM1|C1R|FCGR3A|FCGR2A|FCGR2B
N-Methylleucine	CXCL10
N-1H-indazol-5-yl-2-(6-methylpyridin-2-yl)quinazolin-4-amine	TGFBR1
Zanamivir	NEU2
ATL1101	IGF1R
ATL1102	ITGA4
2-Acetamido-2-Deoxy-D-Glucono-1,5-Lactone	HEXB
Purvalanol	MAPK3|CDK2|MAPK1|CDK4|SRPK2
3-FLUORO-N-[1-(4-FLUOROPHENYL)-3-(2-THIENYL)-1H-PYRAZOL-5-YL]BENZENESULFONAMIDE	PPARG
10,11-dimethoxy-4-methyldibenzo[c,f]-2,7-naphthyridine-3,6-diamine	PDPK1
4-Hydroxybutan-1-Aminium	PRSS3
LY-517717	F10
trans-4-(7-carbamoyl-1H-benzimidazol-2-yl)-1-propylpiperidinium	PARP1
N-(3-AMINOPROPYL)-2-NITROBENZENAMINE	KAT2B
Rilpivirine	NR1I2
Morpholine-4-Carboxylic Acid [1s-(2-Benzyloxy-1r-Cyano-Ethylcarbamoyl)-3-Methyl-Butyl]Amide	CTSS
Norethindrone	PGR
Undecyl-Phosphinic Acid Butyl Ester	LIPF
Pentoxifylline	ADORA2A|ADORA1|NT5E|PDE4A|PDE4B|PDE5A
Carfilzomib	PSMB10|PSMB9|PSMB8|PSMB5|PSMB2|PSMB1
Dienestrol	ESR1
3-[4-(AMINOSULFONYL)PHENYL]PROPANOIC ACID	CA2|CA1
Fosphenytoin	SCN5A
PHENYL-5-(1H-PYRAZOL-3-YL)-1,3-THIAZOLE	HPGDS
2'-Monophosphoadenosine 5'-Diphosphoribose	DHFR|DCXR|AKR1A1|ME1|MDH1|FDXR|AKR1C1|AKR1C2|AKR1C3|AKR1B10|SPR|POR|HSD17B8|HSD17B1|NNT|HSD11B1|NOS1|CRYZ|IDH1|PTGR1|HMGCR|BLVRB|AKR1B1|MTHFD1|G6PD|ADH1B|DECR1
AVE-1625	CNR1
E7389	BCL2|TUBB1
GW 468816	GLRA1
2-[3-({Methyl[1-(2-Naphthoyl)Piperidin-4-Yl]Amino}Carbonyl)-2-Naphthyl]-1-(1-Naphthyl)-2-Oxoethylphosphonic Acid	CMA1|CTSG
Soraphen A	ACACB
(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide	CA2
Pyruvoyl Group	PLA2G1B
EPT1647	MC1R
2-(cycloheptylmethyl)-1,1-dioxido-1-benzothiophen-6-yl sulfamate	CA2
Flavoxate	CHRM2|CHRM1
Oxprenolol	ADRB1|ADRB2
Dimethyl fumarate	KEAP1
Cordycepin Triphosphate	PAPOLA
3-Hydroxybutyryl-Coenzyme A	HADH
Pilocarpine	CHRM3|CHRM2|CHRM1
OSI-930	KIT|FLT1
Pioglitazone	PPARG
Alefacept	FCGR1A|FCGR3A|C1QC|C1QB|C1QA|FCGR3B|CD2|C1R|FCGR2A|FCGR2B
Quinacrine	PLA2G6|PLA2G4A|PLCL1
Tropicamide	CHRM4|CHRM3|CHRM2|CHRM1
Nomifensine	SLC6A3|SLC6A2|MAOA|MAOB|MPO
XMT-1001	TOP1
3-{[(3-FLUORO-3'-METHOXYBIPHENYL-4-YL)AMINO]CARBONYL}THIOPHENE-2-CARBOXYLIC ACID	DHODH
D-Myo-Inositol-1,4-Bisphosphate	INPP5B
5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE	MAPK8|MAPK8IP1
2,3-Dicarboxy-4-(2-Chloro-Phenyl)-1-Ethyl-5-Isopropoxycarbonyl-6-Methyl-Pyridinium	PYGM
N-Aminoethylmorpholine	CTSD
Virginiamycin factor S1	RPL37
[4-({4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]-6-(methylamino)pyrimidin-2-yl}amino)phenyl]acetonitrile	CAMK2B
Famotidine	HRH2
Tetrahydrobiopterin	PAH|TPH1|NOS3|TH
Sphingosine	GLTP|PVR
Benzofuran-2-Carboxylic Acid {(S)-3-Methyl-1-[3-Oxo-1-(Pyridin-2-Ylsulfonyl)Azepan-4-Ylcarbamoyl]Butyl}Amide	CTSK
Nitisinone	HPD
5-CHLORO-6-METHYL-N-(2-PHENYLETHYL)-2-PYRIDIN-2-YLPYRIMIDIN-4-AMINE	METAP1
IMC-A12	IGF1R
GFT505	PPARG|PPARD|PPARA
Fontolizumab	IFNG
Spermine	SMS|ODC1|SMOX
6-(2,5-Dimethoxy-Benzyl)-5-Methyl-Pyrido[2,3-D]Pyrimidine-2,4-Diamine	DHFR
Potassium Chloride	SLC12A4|SLC12A7|SLC12A6|SLC12A2
3-Amino-4-Oxybenzyl-2-Butanone	CTSB
